EETrajData1,EETrajData2,EETrajData3,EETrajData4,EETrajData5,EETrajData6
EE X (Mm),EE Y (Mm),EE Z (Mm),EE Roll (Deg),EE Pitch (Deg),EE Yaw (Deg)
1454.50187494717,4.54922169476904,1498.8772609107,-18.0694420807642,-86.035386979525,-160.561606127043
1455.33510688581,4.61461015875225,1498.62126650292,-18.0595765416813,-85.9792752446962,-160.552333499423
1456.17394860514,4.68048662120739,1498.36268886904,-18.0496418522989,-85.9227677055229,-160.543001418876
1457.01839434888,4.74685162684349,1498.10151173336,-18.0396380094935,-85.8658643229558,-160.533609998216
1457.86843829393,4.81370572178887,1497.83771871548,-18.0295650099512,-85.8085650578008,-160.524159350874
1458.72407454976,4.88104945353875,1497.57129333058,-18.0194228501679,-85.7508698707207,-160.514649590886
1459.58529715788,4.94888337090233,1497.30221898958,-18.0092115264406,-85.6927787222384,-160.505080832898
1460.45210009131,5.01720802394953,1497.0304789994,-17.998931034869,-85.6342915727391,-160.495453192154
1461.324477254,5.08602396395716,1496.7560565632,-17.9885813713486,-85.5754083824734,-160.485766784501
1462.20242248029,5.15533174335466,1496.47893478056,-17.9781625315684,-85.5161291115593,-160.47602172638
1463.08592953432,5.22513191566937,1496.19909664775,-17.9676745110069,-85.4564537199849,-160.466218134822
1463.97499210951,5.2954250354714,1495.91652505795,-17.9571173049293,-85.3963821676117,-160.456356127449
1464.86960382794,5.36621165831789,1495.6312028015,-17.9464909083831,-85.3359144141764,-160.446435822465
1465.76975823983,5.43749234069698,1495.34311256611,-17.9357953161955,-85.2750504192941,-160.436457338656
1466.67544882294,5.50926763997108,1495.05223693714,-17.9250305229675,-85.2137901424606,-160.426420795386
1467.58666898199,5.58153811431992,1494.75855839783,-17.9141965230729,-85.1521335430555,-160.416326312591
1468.50341204808,5.65430432268294,1494.46205932955,-17.9032933106527,-85.0900805803447,-160.406174010777
1469.42567127812,5.72756682470125,1494.16272201203,-17.8923208796136,-85.0276312134829,-160.395964011017
1470.35343985422,5.80132618065918,1493.86052862367,-17.8812792236216,-84.9647854015168,-160.385696434945
1471.28671088315,5.8755829514252,1493.55546124173,-17.8701683360981,-84.9015431033875,-160.375371404756
1472.22547739567,5.95033769839254,1493.24750184265,-17.8589882102207,-84.8379042779333,-160.364989043196
1473.169732346,6.02559098341917,1492.93663230228,-17.8477388389135,-84.7738688838927,-160.354549473566
1474.11946861119,6.1013433687674,1492.62283439615,-17.8364202148468,-84.7094368799068,-160.34405281971
1475.07467899052,6.17759541704289,1492.30608979976,-17.825032330432,-84.6446082245224,-160.333499206019
1476.03535620492,6.2543476911333,1491.98638008883,-17.8135751778182,-84.5793828761947,-160.322888757422
1477.00149289631,6.33160075414631,1491.6636867396,-17.8020487488886,-84.5137607932905,-160.312221599382
1477.97308162705,6.40935516934726,1491.33799112909,-17.7904530352553,-84.4477419340902,-160.301497857897
1478.95011487927,6.4876115000962,1491.00927453539,-17.7787880282573,-84.3813262567915,-160.290717659488
1479.9325850543,6.56637030978451,1490.67751813796,-17.7670537189534,-84.3145137195118,-160.279881131205
1480.920484472,6.64563216177104,1490.34270301789,-17.7552500981218,-84.2473042802913,-160.268988400614
1481.91380537019,6.72539761931762,1490.00481015821,-17.7433771562547,-84.1796978970958,-160.258039595798
1482.912539904,6.80566724552425,1489.66382044423,-17.7314348835532,-84.1116945278195,-160.247034845352
1483.91668014521,6.88644160326361,1489.31971466374,-17.7194232699236,-84.0432941302883,-160.23597427838
1484.92621808168,6.96772125511518,1488.9724735074,-17.7073423049751,-83.9744966622622,-160.224858024487
1485.94114561667,7.04950676329885,1488.62207756903,-17.6951919780134,-83.9053020814387,-160.21368621378
1486.9614545682,7.13179868960791,1488.26850734589,-17.6829722780381,-83.8357103454555,-160.202458976859
1487.98713666844,7.21459759534167,1487.91174323902,-17.6706831937373,-83.7657214118938,-160.19117644482
1489.01818356305,7.29790404123749,1487.55176555355,-17.6583247134846,-83.6953352382808,-160.179838749242
1490.05458681053,7.38171858740228,1487.18855449902,-17.6458968253348,-83.6245517820931,-160.16844602219
1491.09633788158,7.46604179324351,1486.8220901897,-17.6333995170174,-83.5533710007596,-160.156998396207
1492.14342815843,7.55087421739976,1486.45235264494,-17.6208327759368,-83.4817928516643,-160.14549600431
1493.19584893421,7.63621641767061,1486.07932178947,-17.6081965891638,-83.4098172921497,-160.133938979988
1494.25359141228,7.72206895094611,1485.70297745377,-17.5954909434322,-83.3374442795199,-160.122327457199
1495.31664670557,7.80843237313581,1485.32329937436,-17.5827158251377,-83.2646737710431,-160.110661570358
1496.38500583591,7.89530723909694,1484.94026719421,-17.5698712203281,-83.1915057239553,-160.098941454342
1497.45865973339,7.98269410256254,1484.55386046302,-17.5569571147048,-83.1179400954629,-160.08716724448
1498.53759923564,8.07059351606856,1484.16405863762,-17.5439734936132,-83.0439768427465,-160.075339076553
1499.62181508724,8.15900603088086,1483.77084108229,-17.5309203420411,-82.969615922963,-160.063457086784
1500.71129793895,8.24793219692141,1483.37418706915,-17.517797644615,-82.8948572932497,-160.051521411838
1501.80603834713,8.337372562694,1482.97407577849,-17.5046053855925,-82.8197009107268,-160.039532188818
1502.90602677298,8.42732767520952,1482.57048629916,-17.4913435488612,-82.7441467325009,-160.027489555258
1504.01125358192,8.51779807991058,1482.16339762892,-17.4780121179313,-82.668194715668,-160.01539364912
1505.12170904284,8.6087843205957,1481.75278867484,-17.464611075934,-82.5918448173169,-160.00324460879
1506.2373833275,8.70028693934283,1481.33863825365,-17.451140405614,-82.515096994532,-159.991042573071
1507.35826650977,8.79230647643243,1480.92092509214,-17.4376000893271,-82.4379512043969,-159.978787681183
1508.48434856496,8.88484347026999,1480.49962782754,-17.4239901090337,-82.3604074039973,-159.966480072756
1509.61561936913,8.97789845730799,1480.0747250079,-17.4103104462967,-82.2824655504245,-159.954119887824
1510.7520686984,9.07147197196728,1479.64619509251,-17.3965610822748,-82.2041256007785,-159.941707266823
1511.89368622825,9.16556454655793,1479.21401645226,-17.3827419977175,-82.1253875121713,-159.929242350587
