AllTrq1,AllTrq2,AllTrq3,AllTrq4,AllTrq5,AllTrq6
J1 Trq (Nm),J2 Trq (Nm),J3 Trq (Nm),J4 Trq (Nm),J5 Trq (Nm),J6 Trq (Nm)
6.11251761420379,2189.30525781311,513.495210868353,-3.5972265597239,1.20408472139746,0.000147091319181174
6.09079033335372,2188.4503389324,513.384860966484,-3.57781693942738,1.2033141156382,0.00014542485705384
6.06902474102872,2187.59269997351,513.274557765747,-3.55838902339423,1.20254163438953,0.000143757526333247
6.04722106233181,2186.73234242108,513.164301484276,-3.53894295640984,1.20176727846875,0.000142089362056788
6.0253795225744,2185.86926776369,513.054092340094,-3.51947888330534,1.20099104869777,0.000140420399298962
6.00350034727238,2185.00347749392,512.943930551116,-3.49999694895663,1.20021294590309,0.000138750673170438
5.98158376214773,2184.13497310828,512.833816335142,-3.48049729828322,1.19943297091578,0.000137080218817117
5.9596299931207,2183.26375610721,512.723749909862,-3.46098007624716,1.19865112457153,0.000135409071419187
5.93763926630879,2182.38982799515,512.613731492851,-3.44144542785201,1.1978674077106,0.000133737266190184
5.91561180802605,2181.51319028043,512.503761301577,-3.42189349814172,1.19708182117784,0.00013206483837605
5.89354784477454,2180.63384447538,512.39383955339,-3.40232443219959,1.1962943658227,0.000130391823254187
5.87144760324778,2179.75179209622,512.283966465531,-3.38273837514715,1.19550504249919,0.000128718256132511
5.84931131032296,2178.86703466314,512.174142255127,-3.36313547214313,1.19471385206592,0.000127044172348518
5.82713919306075,2177.97957370026,512.064367139195,-3.34351586838238,1.19392079538605,0.000125369607268327
5.80493147870023,2177.08941073564,511.954641334631,-3.32387970909478,1.19312587332737,0.000123694596285738
5.78268839465822,2176.19654730126,511.844965058226,-3.30422713954417,1.19232908676218,0.000122019174821289
5.76041016852499,2175.30098493302,511.735338526653,-3.28455830502732,1.19153043656741,0.000120343378321311
5.73809702806233,2174.40272517078,511.625761956473,-3.26487335087282,1.19072992362453,0.000118667242256969
5.71574920119727,2173.5017695583,511.516235564131,-3.24517242244005,1.18992754881958,0.00011699080212333
5.69336691602527,2172.59811964325,511.40675956596,-3.22545566511804,1.18912331304318,0.000115314093438404
5.67095040080078,2171.69177697725,511.297334178177,-3.20572322432451,1.1883172171905,0.000113637151742201
5.64849988393827,2170.78274311581,511.187959616885,-3.18597524550474,1.1875092621613,0.000111960012595779
5.62601559401015,2169.87101961837,511.078636098072,-3.16621187413051,1.18669944885986,0.000110282711580297
5.60349775973726,2168.95660804827,510.969363837612,-3.14643325569906,1.18588777819504,0.000108605284296064
5.58094660999613,2168.03950997276,510.860143051264,-3.12663953573202,1.18507425108027,0.000106927766361594
5.55836237380679,2167.11972696302,510.75097395467,-3.10683085977436,1.18425886843351,0.000105250193412649
5.53574528033544,2166.19726059408,510.641856763356,-3.08700737339329,1.18344163117727,0.00010357260110129
5.51309555888797,2165.27211244494,510.532791692736,-3.06716922217727,1.18262254023863,0.000101895025094935
5.49041343891108,2164.34428409845,510.423778958104,-3.04731655173489,1.18180159654921,0.000100217501075397
5.46769914998509,2163.41377714136,510.314818774639,-3.02744950769388,1.18097880104516,9.8540064737942e-05
5.44495292182293,2162.48059316434,510.205911357406,-3.00756823569997,1.18015415466719,9.68627517903308e-05
5.42217498426879,2161.54473376193,510.097056921351,-2.98767288141593,1.17932765836054,9.51855979518765e-05
5.39936556729225,2160.60620053255,509.988255681304,-2.96776359052044,1.178499313075,9.35086389524834e-05
5.37652490098759,2159.66499507854,509.879507851978,-2.94784050870711,1.17766911976486,9.18319105317062e-05
5.35365321556909,2158.7211190061,509.770813647968,-2.92790378168337,1.17683707938899,9.01554484377928e-05
5.33075074137093,2157.77457392531,509.662173283755,-2.90795355516946,1.17600319291077,8.84792884267339e-05
5.30781770883831,2156.82536145014,509.553586973698,-2.88798997489733,1.17516746129808,8.68034662613087e-05
5.28485434853407,2155.87348319843,509.445054932043,-2.86801318660972,1.17432988552338,8.51280177101467e-05
5.26186089112562,2154.91894079189,509.336577372914,-2.84802333605894,1.1734904665636,8.34529785467613e-05
5.23883756739074,2153.96173585611,509.22815451032,-2.82802056900596,1.17264920540022,8.17783845486063e-05
5.21578460820758,2153.00187002055,509.11978655815,-2.80800503121931,1.17180610301923,8.01042714961261e-05
5.19270224455534,2152.03934491852,509.011473730175,-2.78797686847406,1.17096116041115,7.84306751718052e-05
5.16959070751257,2151.07416218721,508.903216240048,-2.76793622655075,1.17011437857096,7.67576313592115e-05
5.14645022825093,2150.10632346768,508.795014301302,-2.74788325123444,1.16926575849822,7.50851758420585e-05
5.12328103803563,2149.13583040482,508.686868127353,-2.72781808831349,1.16841530119695,7.34133444032401e-05
5.10008336821708,2148.1626846474,508.578777931496,-2.70774088357875,1.16756300767567,7.17421728238944e-05
5.07685745023787,2147.18688784804,508.470743926907,-2.68765178282236,1.16670887894745,7.00716968824494e-05
5.05360351561784,2146.2084416632,508.362766326643,-2.66755093183677,1.16585291602981,6.84019523536739e-05
5.03032179596077,2145.22734775321,508.254845343642,-2.64743847641371,1.16499511994478,6.67329750077236e-05
5.00701252294552,2144.24360778223,508.14698119072,-2.62731456234318,1.16413549171889,6.5064800609206e-05
4.98367592832824,2143.25722341826,508.039174080573,-2.60717933541237,1.16327403238315,6.33974649162211e-05
4.9603122439342,2142.26819633317,507.931424225779,-2.58703294140466,1.16241074297307,6.17310036794201e-05
4.93692170165918,2141.27652820264,507.823731838793,-2.56687552609859,1.16154562452863,6.00654526410534e-05
4.91350453346327,2140.2822207062,507.716097131953,-2.54670723526687,1.16067867809429,5.84008475340312e-05
4.89006097137071,2139.28527552721,507.60852031747,-2.52652821467525,1.15980990471902,5.6737224080969e-05
4.86659124746622,2138.28569435287,507.50100160744,-2.50633861008162,1.15893930545623,5.50746179932531e-05
4.84309559388972,2137.2834788742,507.393541213834,-2.4861385672349,1.15806688136381,5.34130649700831e-05
4.8195742428388,2136.27863078605,507.286139348502,-2.46592823187409,1.15719263350414,5.17526006975408e-05
4.79602742656082,2135.2711517871,507.178796223175,-2.44570774972717,1.15631656294404,5.00932608476353e-05
4.77245537735028,2134.26104357985,507.071512049459,-2.42547726651013,1.15543867075481,4.84350810773671e-05
4.74885832755006,2133.24830787062,506.96428703884,-2.40523692792596,1.15455895801221,4.67780970277836e-05
